idColar,acelerometroEixoX,acelerometroEixoY,acelerometroEixoZ,magnetometroEixoX,magnetometroEixoY,magnetometroEixoZ,giroscopioEixoX,giroscopioEixoY,giroscopioEixoZ,horario,data,velocidadeDeslocamento,comportamento
A2,-1626,12968,-20606,-907,221,-1365,4853,-12835,-2506,141739.207,250515,003.5,Andando
A2,-8743,4392,-13728,-1196,-223,-662,3061,-365,5621,141742.207,250515,000.0,Pastando
A2,-4394,4017,-12164,-1232,-90,-748,1429,126,-4248,141745.207,250515,000.0,Pastando
A2,-16625,2788,-14852,-1307,182,-537,-2509,-1580,-5078,141748.207,250515,000.0,Pastando
A2,-4956,7987,-13805,-797,-433,-1218,2177,699,-993,141821.207,250515,000.0,Pastando
A2,-1081,8987,-13951,-190,-545,-1500,2589,-759,1881,141823.207,250515,000.0,Pastando
A2,-4283,7387,-14846,-1255,457,-657,-905,2407,-2649,141856.208,250515,000.0,Pastando
A2,-582,9784,-8869,-1183,254,-994,1671,-610,-452,141859.208,250515,001.7,Pastando
A2,-13069,6749,-13753,-1250,539,-394,14,-4291,-684,141904.208,250515,002.3,Pastando
A2,-15059,7556,-16400,-1269,73,-158,-2437,4234,4981,141907.208,250515,000.0,Pastando
A2,-3986,10044,-11954,-1170,-297,-550,7704,1159,2161,141922.208,250515,000.0,Pastando
A2,-18084,4112,-20661,-1047,-354,-869,-4615,1039,-2395,141951.208,250515,000.0,Pastando
A2,-4889,8152,-9170,-1023,-334,-1006,-1243,5713,-2665,141954.208,250515,000.0,Pastando
A2,-4846,9440,-11960,-1260,52,-599,-4002,-114,-4810,142006.208,250515,000.0,Pastando
A2,-5938,7588,-10849,-1276,76,-249,-4909,63,4701,142043.208,250515,000.0,Pastando
A2,-2728,2732,-14171,-1136,-353,-657,-2992,2967,4238,142046.208,250515,000.0,Pastando
A2,-5075,5790,-13488,-1276,347,-596,5442,-442,3116,142048.208,250515,000.0,Pastando
A2,-9628,6424,-11747,-1086,807,10,2532,-2705,7822,142148.208,250515,000.0,Pastando
A2,-13922,3667,-17238,-1298,332,-344,-1923,-6118,-267,142150.208,250515,000.0,Pastando
A2,-2041,5837,-11936,562,1483,-843,6163,2136,-3665,142237.208,250515,000.0,Pastando
A2,-8610,6512,-11902,423,1530,-816,-3752,-354,9109,142337.208,250515,000.0,Pastando
A2,-9994,9893,-7959,274,1612,-462,718,-1761,3382,142340.208,250515,000.0,Pastando
A2,-2839,6395,-16762,-317,1509,-156,-7338,13189,4121,142523.208,250515,000.0,Pastando
A2,-15065,4929,-17246,-831,1156,2,1037,1304,-920,142525.208,250515,000.0,Pastando
A2,-2965,12194,-6887,-1251,274,-138,6519,-7564,12771,142618.208,250515,000.0,Pastando
A2,-6088,5720,-10776,-846,1196,-151,-5239,1864,-3195,142808.208,250515,000.0,Pastando
A2,-6845,8634,-12556,-1227,551,-191,4448,748,4127,142811.208,250515,000.0,Pastando
A2,-10851,8692,-10707,-1029,898,66,-5863,8199,6406,142844.208,250515,000.0,Pastando
A2,-6339,8383,-11441,-1237,569,-251,-3460,3068,-4561,142846.208,250515,000.0,Pastando
A2,-11988,4540,-11941,-925,1061,-79,259,-2575,298,142939.208,250515,000.0,Pastando
A2,-5961,1912,-13607,-1156,750,-169,-2161,4575,-4142,143027.208,250515,000.0,Pastando
A2,-2449,9782,-6980,-1249,68,-149,5267,1762,9890,143058.208,250515,000.0,Pastando
A2,-4063,5753,-9324,-1005,-507,-672,-196,680,4433,143309.209,250515,000.0,Pastando
A2,-8847,3189,-11756,-1244,461,-132,6376,-7428,5973,143312.209,250515,000.0,Pastando
A2,-12324,6742,-13371,-783,-381,-1202,-1967,-6056,-4927,143522.209,250515,001.9,Pastando
A2,-7351,5782,-10992,-1104,-277,-822,-1309,3112,-1523,143525.209,250515,000.0,Pastando
A2,-20200,18447,-14208,-1023,-355,-933,-3679,-1506,-7345,143527.209,250515,000.0,Pastando
A2,-7776,3083,-8340,-854,-541,-913,-2802,-5730,-1882,143621.209,250515,000.0,Pastando
A2,-7823,2849,-11427,-425,-632,-1237,1972,4693,1886,143623.209,250515,000.0,Pastando
A2,-3617,4426,-10191,-1170,-252,-567,71,1701,10194,143726.209,250515,000.0,Pastando
A2,-11211,3803,-10442,167,-7,-1716,-943,6460,-102,143808.209,250515,000.0,Pastando
A2,-9108,11202,-12593,-625,-662,-1100,-1926,-3571,-829,143958.209,250515,000.0,Pastando
A2,924,3583,-5630,-924,-563,-769,2434,12956,-9403,144000.209,250515,000.0,Pastando
A2,-8811,1494,-13663,-1082,880,-76,1027,-32,3951,144022.209,250515,000.0,Pastando
A2,-5340,6296,-9364,-1222,670,-292,-2581,1358,1885,144205.209,250515,000.0,Pastando
A2,1265,3908,-14874,-1286,124,-418,942,-1056,7730,144516.210,250515,000.0,Pastando
A2,-11278,5601,-15334,-1285,279,-555,7448,-8669,3112,144519.210,250515,000.0,Pastando
A2,-5193,5441,-10760,550,1483,-788,-541,6968,-2361,144816.210,250515,000.0,Pastando
A2,-14191,6033,-13933,321,-191,-1626,2035,-5257,2971,144941.210,250515,000.0,Pastando
A2,-4022,13152,-9125,730,399,-1657,-6880,2636,1983,145017.210,250515,000.0,Pastando
A2,-8033,10279,-13287,795,361,-1576,-135,3610,1297,145019.210,250515,000.0,Pastando
A2,-4292,3561,-8402,-1277,242,-297,-4748,-280,3739,145158.210,250515,000.0,Pastando
A2,-8099,3951,-10057,-1259,179,-134,-3864,1129,-880,145233.210,250515,000.0,Pastando
A2,-4559,5340,-9854,593,-106,-1580,701,6240,-2927,145328.210,250515,000.0,Pastando
A2,-15043,6304,-16569,678,484,-1606,458,2943,-1106,145331.210,250515,000.0,Pastando
A2,-8507,11603,-12594,850,694,-1506,-4144,3059,-1247,145428.210,250515,000.0,Pastando
A2,-6042,7928,-9544,932,1232,-890,1331,2290,-5902,145504.210,250515,000.0,Pastando
A2,-11601,4868,-13783,805,937,-1382,-2415,-3862,-3027,145658.210,250515,000.0,Pastando
A2,-10613,3762,-13969,266,1565,-686,10281,-1089,5138,145745.210,250515,000.0,Pastando
A2,-6505,7489,-4607,285,1444,-1065,-880,7464,-8343,145828.211,250515,000.0,Pastando
A2,-8322,6010,-10090,446,1458,-921,540,-3139,-1128,145830.211,250515,000.0,Pastando
A2,-5743,9200,-17436,-285,1557,-473,7963,-15408,-9805,145931.211,250515,004.0,Andando
A2,-1610,9427,-13746,-391,1482,-113,7417,9916,6670,145933.211,250515,004.3,Andando
A2,419,8145,-12915,39,1587,-511,-938,9082,11417,145935.211,250515,004.0,Andando
A2,-4756,6217,-11660,-38,1592,-213,-373,745,-6696,145938.211,250515,003.3,Pastando
A2,-9626,8864,-10839,216,1575,-624,-1226,4285,524,145947.211,250515,001.6,Pastando
A2,-4419,8580,-17635,810,1384,-693,4680,1484,-3198,150019.211,250515,002.2,Pastando
A2,-5631,8943,-8975,176,1465,-985,-3823,1445,-2826,150022.211,250515,000.0,Pastando
A2,-3872,8252,-13364,727,1282,-1040,2577,193,2451,150024.211,250515,000.0,Pastando
A2,-3412,1331,-9393,808,725,-1487,1009,5443,-2358,150142.211,250515,000.0,Pastando
A2,-4208,3669,-8255,838,419,-1558,-2455,781,8206,150145.211,250515,000.0,Pastando
A2,-4544,6723,-16729,647,1510,-399,-2531,-2818,-7003,150219.211,250515,003.7,Andando
A2,984,6861,-12266,423,1570,-490,-2415,12183,-564,150222.211,250515,004.1,Andando
A2,3958,5202,-18826,400,1561,-248,2079,5290,-809,150225.211,250515,004.2,Andando
A2,2893,7124,-12908,749,1434,-516,5378,-4747,5419,150228.211,250515,003.8,Andando
A2,-6747,13728,-22293,543,1510,-248,837,3678,-5643,150231.211,250515,004.0,Andando
A2,-428,9766,-12346,773,1421,-573,1387,4562,4036,150233.211,250515,003.7,Andando
A2,1562,6148,-12458,612,1468,-711,-6403,4841,6235,150240.211,250515,003.6,Andando
A2,-3300,7521,-9910,906,1034,-1206,-1871,3759,-2496,150248.211,250515,000.0,Pastando
A2,-12308,12900,-10667,438,1504,-791,-4736,5710,1483,150331.211,250515,000.0,Pastando
A2,-19961,5760,-12257,239,1586,-628,418,-3883,-3033,150334.211,250515,000.0,Pastando
A2,-8549,1148,-16717,906,242,-1485,500,2915,900,150428.211,250515,000.0,Pastando
A2,-3464,5994,-14844,998,72,-1388,1280,-1521,-3027,150430.211,250515,000.0,Pastando
A2,-4039,11133,-12050,909,583,-1444,4141,-2168,5215,150432.211,250515,000.0,Pastando
